status,cum_ofi,abs_ofi,n_quotes,n_trades,total_volume,mean_spread,std_spread,mean_mp_dev_abs,spread_spike_minutes,day,ticker,vix1d_prior,vix9d_prior,vix_spread_prior
ok,-1051756.0,1051756.0,4439228.0,14147.0,1191844.0,0.02827261281770564,0.02849207843795478,0.005270702619201755,19.0,2026-01-06,QQQ,8.34,12.44,-4.1
ok,-949413.0,949413.0,3628328.0,41453.0,2441961.0,0.01418688583868807,0.014362668961541971,0.002575051435231494,21.0,2026-01-07,SPY,7.97,12.13,-4.160000000000001
ok,-1162701.0,1162701.0,5428971.0,27988.0,1914282.0,0.01719930071346956,0.012173425660230072,0.0033346958266583173,20.0,2026-01-07,QQQ,7.97,12.13,-4.160000000000001
ok,-1241309.0,1241309.0,4910597.0,39886.0,2423953.0,0.015148433193302434,0.010161359127802668,0.002376566049167233,17.0,2026-01-08,SPY,9.21,12.54,-3.3299999999999983
ok,-1597497.0,1597497.0,6010525.0,23250.0,1524872.0,0.025797295842641038,0.03006330458148066,0.004681980343107388,17.0,2026-01-08,QQQ,9.21,12.54,-3.3299999999999983
ok,486599.0,486599.0,4284086.0,42969.0,2577177.0,0.016514097895953407,0.020795460393829582,0.0027400307289977134,23.0,2026-01-09,SPY,13.64,12.83,0.8100000000000005
ok,-728882.0,728882.0,5261242.0,16547.0,1217153.0,0.030954289430958792,0.027094517705152345,0.005500410028734386,22.0,2026-01-09,QQQ,13.64,12.83,0.8100000000000005
ok,-969496.0,969496.0,2807703.0,35213.0,2055990.0,0.014613678868455725,0.013347623665785227,0.002508846671269099,11.0,2026-01-12,SPY,8.49,10.86,-2.369999999999999
ok,429080.0,429080.0,4436991.0,15284.0,1075211.0,0.022431602858784858,0.013232306472115409,0.00425534434650304,23.0,2026-01-12,QQQ,8.49,10.86,-2.369999999999999
ok,-628592.0,628592.0,4530516.0,39547.0,2397790.0,0.015986509680592554,0.010632287547900807,0.002593165956102363,16.0,2026-01-13,SPY,9.57,11.94,-2.369999999999999
ok,-181329.0,181329.0,5202811.0,22740.0,1409335.0,0.02817359515414314,0.026376386686267905,0.0052573126491047934,19.0,2026-01-13,QQQ,9.57,11.94,-2.369999999999999
ok,-1786150.0,1786150.0,6257698.0,44454.0,2581140.0,0.021121332521316604,0.05766115268604775,0.0034049300282530614,20.0,2026-01-14,SPY,10.77,12.51,-1.7400000000000002
ok,-819080.0,819080.0,7683217.0,26218.0,1538283.0,0.03261643081258595,0.045887722777872446,0.005693702838499121,24.0,2026-01-14,QQQ,10.77,12.51,-1.7400000000000002
ok,458312.0,458312.0,4311604.0,44021.0,2393507.0,0.015959176535611592,0.013607212418145581,0.0026054739043280695,20.0,2026-01-15,SPY,11.8,13.18,-1.379999999999999
ok,1076318.0,1076318.0,5485709.0,14045.0,995637.0,0.039753427284546054,0.04102667754540595,0.007206920389569285,19.0,2026-01-15,QQQ,11.8,13.18,-1.379999999999999
ok,816734.0,816734.0,3799474.0,34538.0,1973721.0,0.01618872206157174,0.017700747469367405,0.0025521544641374234,21.0,2026-01-16,SPY,10.62,12.32,-1.700000000000001
ok,-2069912.0,2069912.0,5496040.0,25422.0,1569005.0,0.02239665053201046,0.028838254795263557,0.0039804240132127995,24.0,2026-01-16,QQQ,10.62,12.32,-1.700000000000001
ok,-964345.0,964345.0,3854663.0,27961.0,1610911.0,0.032644669200053,0.031648308690099505,0.006079268960241392,8.0,2026-01-20,SPY,12.31,12.09,0.22000000000000064
ok,-2161313.0,2161313.0,7179553.0,16997.0,1219766.0,0.04000352529156467,0.043111373148451475,0.006907824325994216,19.0,2026-01-20,QQQ,12.31,12.09,0.22000000000000064
ok,-4359904.0,4359904.0,6265172.0,67363.0,3318636.0,0.021196566026544975,0.04765236299958927,0.0036089344621516484,16.0,2026-01-21,SPY,16.8,19.93,-3.129999999999999
ok,-950112.0,950112.0,8608319.0,22023.0,1425283.0,0.04295365873208575,0.04794896935043839,0.007452457700678691,29.0,2026-01-21,QQQ,16.8,19.93,-3.129999999999999
ok,-248649.0,248649.0,3372333.0,32434.0,1680693.0,0.016667067971679418,0.01872421818161048,0.0026321530096391774,11.0,2026-01-22,SPY,12.23,15.88,-3.6500000000000004
ok,1748641.0,1748641.0,5462013.0,11377.0,792987.0,0.035191190570652287,0.03504788881047427,0.006581754554918794,23.0,2026-01-22,QQQ,12.23,15.88,-3.6500000000000004
ok,-604511.0,604511.0,4253308.0,27568.0,1598033.0,0.0175209161466186,0.02689259315486244,0.0029167612338688435,25.0,2026-01-23,SPY,10.95,14.38,-3.4300000000000015
ok,6926515.0,6926515.0,4953248.0,9653.0,777586.0,0.038008035546827044,0.06076836376475725,0.007366666582020156,11.0,2026-01-23,QQQ,10.95,14.38,-3.4300000000000015
ok,-347064.0,347064.0,2763321.0,25619.0,1547533.0,0.017540376411035036,0.01610178246275236,0.003247918605798854,15.0,2026-01-26,SPY,13.66,15.0,-1.3399999999999999
ok,-358988.0,358988.0,3884418.0,20526.0,1360740.0,0.02219122143909226,0.02689613991212257,0.004464829864204509,28.0,2026-01-26,QQQ,13.66,15.0,-1.3399999999999999
ok,-449802.0,449802.0,3010240.0,28888.0,1795447.0,0.014961469811180144,0.03846480500451827,0.0024615506758413797,26.0,2026-01-27,SPY,8.98,15.05,-6.07
ok,-1952613.0,1952613.0,3525626.0,11286.0,945115.0,0.02583468557737809,0.03664150502062199,0.004994307889257926,21.0,2026-01-27,QQQ,8.98,15.05,-6.07
ok,68670.0,68670.0,3223655.0,23841.0,1331388.0,0.019435878934824045,0.06653580972253384,0.003235589970167331,15.0,2026-01-28,SPY,10.61,14.85,-4.24
ok,-174771.0,174771.0,6100761.0,20363.0,1253273.0,0.023184002709171033,0.03146006721677423,0.004339360753846197,23.0,2026-01-28,QQQ,10.61,14.85,-4.24
ok,-2978819.0,2978819.0,6694321.0,36827.0,2382414.0,0.019697352291898753,0.019509148326781897,0.003180038340825989,7.0,2026-01-29,SPY,13.24,14.54,-1.299999999999999
ok,-686768.0,686768.0,9452560.0,18971.0,1304026.0,0.0332368730242123,0.028466887234067578,0.005893343964872887,17.0,2026-01-29,QQQ,13.24,14.54,-1.299999999999999
ok,-528363.0,528363.0,8158523.0,36775.0,2297264.0,0.022999863454923403,0.02165897857124784,0.0036003018728023427,21.0,2026-01-30,SPY,13.72,15.22,-1.5
